columna,tipo,nulos,unicos,rol
id_anonimo,str,0,10452,identificador
mes,string,0,10,identificador
total_intenciones,Int64,0,40,predictora
intenciones_distintas,Int64,0,17,predictora
activo_compromiso,Int64,0,2,predictora
dias_compromiso,Int64,20534,4,predictora
activo_ya_pague,Int64,0,2,predictora
ultima_intencion_antes_compromiso,string,0,27,predictora
hora_primera_interaccion,Int64,15901,24,predictora
dia_semana_primera_interaccion,Int64,15901,7,predictora
dias_mora_inicial,int64,0,175,predictora
meses_consecutivos_mora,int64,0,11,predictora
tipo_operacion,string,0,2,contexto
bucket,string,168,8,contexto
mes_campania,float64,0,11,contexto
lote_control,string,0,21,contexto
tiene_conversacion,Int64,0,2,contexto
cumplimiento_conciliado,Int64,0,2,target
cumplimiento_ceroteo,Int64,0,2,target
